name,lga,state_id,state,postcode,latitude,longitude,map,type,id
Beeliar,Cockburn,WA,Western Australia,6164,-32.13767,115.79260,2033,Suburb,8e54537dfbfc47c8102cfdb6a4314199
Beemunnel,Warren,NSW,New South Wales,2824,-31.66240,147.85960,8434,Locality,3fecf6f8dc523983c572e12eb84a1e25
Beenaam Valley,Gympie,QLD,Queensland,4570,-26.19028,152.81528,9445,Locality,e1516ea93aabc04f989d3103df15c7b9
Beenak,Yarra Ranges,VIC,Victoria,3139,-37.90107,145.63768,8022,Locality,4c8408dee1eb5ba0433b1a17145946f0
Beenleigh,Logan,QLD,Queensland,4207,-27.71611,153.20223,9542,Town,c5a08666f1a84a16f0834dbd5b8529c3
Beenong,Lake Grace,WA,Western Australia,6353,-33.08278,118.63220,2631,Locality,41326cde384585d9b0364ffa7806b444
Beerburrum,Sunshine Coast,QLD,Queensland,4517,-26.96011,152.95515,9444,Town,46e8a20d9b0e88117f02ea21148ef660
Beermullah,Gingin,WA,Western Australia,6503,-31.22155,115.74150,2035,Locality,ec757227f58bf748228c06227781f74f
Beeron,North Burnett,QLD,Queensland,4626,-25.90111,151.27750,9146,Locality,d0dcf69736049192b078124d7727ec09
Beerwah,Sunshine Coast,QLD,Queensland,4519,-26.85833,152.96138,9444,Town,173def73619f1fe1c878812519d16d43
Bees Creek,Litchfield,NT,Northern Territory,0822,-12.56118,131.05905,5172,Town,e2f54fc352f0808228f710612c90d946
Beetaloo,Northern Areas,SA,South Australia,5480,-33.18216,138.21197,6531,Locality,cd77b896339960bea6df02eb57fbe92b
Beetson,Gawler,SA,South Australia,5115,-34.64094,138.70542,6628,Suburb,f3cf871a655033558452349b1079c71d
Bega,Bega Valley,NSW,New South Wales,2550,-36.67392,149.84178,8824,Town,5d290b9eaf84c011028f151bb7ac4860
Beggan Beggan,Harden,NSW,New South Wales,2587,-34.68180,148.26790,8528,Locality,4ab6329865d5fb9acef3bc58cfd92c7f
Begonia,Maranoa,QLD,Queensland,4465,-27.46028,148.27417,8543,Locality,2a2814f17a1fa9947f7cc93686cd5693
Beilba,Maranoa,QLD,Queensland,4454,-25.65139,148.85000,8646,Locality,6293f549250ee63992c6a79d91d9ab00
Bejoording,Toodyay,WA,Western Australia,6566,-31.38460,116.52810,2235,Locality,1806f3a161a711a946c3c6655e6ca11d
